Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Norm Based Sampling,500,57083030092.04469,95.0,182.02010151441445,0.97880798479848,KDD,20240766450.87197,2.6908636569976805,KMeans++
Norm Based Sampling,1000,44639876500.32284,90.0,120.54439790445656,0.9782284388438844,KDD,20240766450.87197,1.492741060256958,KMeans++
Norm Based Sampling,2000,34790386690.29854,80.0,71.88275342606784,0.979577517751775,KDD,20240766450.87197,0.9497695446014404,KMeans++
Norm Based Sampling,5000,26854082022.55587,50.0,32.67324677519311,0.9816443044304431,KDD,20240766450.87197,2.205580997467041,KMeans++
Norm Based Sampling,7000,27485914684.22646,30.0,35.79483144049796,0.9848633543354336,KDD,20240766450.87197,2.4623263835906983,KMeans++
Norm Based Sampling,10000,20403154761.883614,0.0,0.802283408613921,0.9866927652765276,KDD,20240766450.87197,2.8273108959198,KMeans++
Uniform Sampling,500,52157510435.63279,95.0,157.6854515970458,0.9822583098309832,KDD,20240766450.87197,0.3847180366516113,KMeans++
Uniform Sampling,1000,45605040098.657394,90.0,125.31281218697488,0.9851295129512952,KDD,20240766450.87197,0.6532956123352051,KMeans++
Uniform Sampling,2000,38909498457.246704,80.0,92.23332551011416,0.9858029162916292,KDD,20240766450.87197,1.0493592262268066,KMeans++
Uniform Sampling,5000,27033070777.539745,50.0,33.55754508187192,0.9877136793679367,KDD,20240766450.87197,2.1046658992767333,KMeans++
Uniform Sampling,7000,21147604555.210564,30.0,4.480255757802699,0.9891843184318432,KDD,20240766450.87197,2.249458599090576,KMeans++
Uniform Sampling,10000,20401880084.80613,0.0,0.795985835443567,0.986728612861286,KDD,20240766450.87197,2.62600154876709,KMeans++
Statistical Leverage Sampling,500,53150788163.867935,95.0,162.59276442359322,0.9811615241524152,KDD,20240766450.87197,0.5458417415618897,KMeans++
Statistical Leverage Sampling,1000,42811098391.8512,90.0,111.50927508482214,0.9851378617861788,KDD,20240766450.87197,1.4192808628082276,KMeans++
Statistical Leverage Sampling,2000,32369140133.22301,80.0,59.92052579524994,0.9857314891489148,KDD,20240766450.87197,1.8873392581939696,KMeans++
Statistical Leverage Sampling,5000,25456359370.407387,50.0,25.76776394409078,0.9885187758775876,KDD,20240766450.87197,2.2833738803863524,KMeans++
Statistical Leverage Sampling,7000,24534971344.696404,30.0,21.215623945107247,0.9875359895989598,KDD,20240766450.87197,2.3614410400390624,KMeans++
Statistical Leverage Sampling,10000,20344794508.576103,0.0,0.5139531546723949,0.9875280408040804,KDD,20240766450.87197,2.073051261901856,KMeans++
Uniform Sampling,5,2292542408.0,98.75,266.9825022285038,0.6718471177944861,Face,624700740.2474288,0.1067846298217773,KMeans++
Uniform Sampling,10,1899528577.375,97.5,204.0701659201881,0.6997268170426065,Face,624700740.2474288,0.0927409648895263,KMeans++
Uniform Sampling,20,1610312020.9615123,95.0,157.77334925579035,0.715295739348371,Face,624700740.2474288,0.0974334239959716,KMeans++
Uniform Sampling,50,1430187254.0860777,87.5,128.9395804973138,0.7031754385964912,Face,624700740.2474288,0.3297795295715332,KMeans++
Uniform Sampling,70,1366693811.9591484,82.5,118.775763162668,0.7830676691729324,Face,624700740.2474288,0.1980252742767334,KMeans++
Uniform Sampling,100,1336087819.2273197,75.0,113.8764584620354,0.7681779448621554,Face,624700740.2474288,0.2785726070404052,KMeans++
Norm Based Sampling,5,2426771232.4,98.75,288.46940239558785,0.7404711779448622,Face,624700740.2474288,0.1248662948608398,KMeans++
Norm Based Sampling,10,1881016318.494444,97.5,201.10678558655445,0.6665839598997494,Face,624700740.2474288,0.1221573829650879,KMeans++
Norm Based Sampling,20,1623732589.751583,95.0,159.92166891117532,0.6999323308270677,Face,624700740.2474288,0.1073503971099853,KMeans++
Norm Based Sampling,50,1461687029.2129798,87.5,133.98195888707306,0.781325814536341,Face,624700740.2474288,0.3297186374664306,KMeans++
