Sampling Type,Coreset Size,Average Cost,Reduction in Data Size,Error,Avg Rand Index,Data,Optimal Cost,Avg Time,Clustering Algorithm
Lightweight Coreset (Median),100,18669556.933950435,99.0,48.66398214428239,0.9749661566156614,KDD,12558224.705585465,0.1768854141235351,KMeans++
Lightweight Coreset (Median),500,13666142.87529534,95.0,8.822251517900554,0.9835555195519554,KDD,12558224.705585465,0.2116944789886474,KMeans++
Lightweight Coreset (Median),1000,13183768.840161508,90.0,4.981150992606644,0.9850389278927892,KDD,12558224.705585465,0.3356880187988281,KMeans++
Lightweight Coreset (Median),1500,12976670.687645456,85.0,3.332047258828556,0.9861791739173918,KDD,12558224.705585465,0.3352435111999511,KMeans++
Lightweight Coreset (Median),3500,12717535.187205875,65.0,1.2685748611390482,0.9859581878187818,KDD,12558224.705585465,0.5394474029541015,KMeans++
Lightweight Coreset (Median),5000,12669354.352836968,50.0,0.8849152635569186,0.988803812381238,KDD,12558224.705585465,0.7056590557098389,KMeans++
Lightweight Coreset (Median),7000,12655089.652659994,30.0,0.7713267547398367,0.988825810581058,KDD,12558224.705585465,0.8766100406646729,KMeans++
Lightweight Coreset (Median),10000,12669435.746456897,0.0,0.8855633935421411,0.9868526812681268,KDD,12558224.705585465,1.1811982631683349,KMeans++
Lightweight Coreset (Median),100,62207674.72327958,99.0,32.03678444858099,0.9105650725072508,KDD,91531388.29373816,0.7051568984985351,KMedoids
Lightweight Coreset (Median),500,73436884.50573829,95.0,19.76863251536387,0.9239737253725372,KDD,91531388.29373816,0.9990503787994384,KMedoids
Lightweight Coreset (Median),1000,78708537.8743883,90.0,14.009238424527537,0.9311611481148114,KDD,91531388.29373816,1.4352545261383056,KMedoids
Lightweight Coreset (Median),1500,87659383.52848093,85.0,4.230248046529553,0.946691217121712,KDD,91531388.29373816,1.9996925830841064,KMedoids
Lightweight Coreset (Median),3500,90087798.9716591,65.0,1.577152219571257,0.9232011561156116,KDD,91531388.29373816,4.324576091766358,KMedoids
Lightweight Coreset (Median),5000,89025690.26678929,50.0,2.737528703167614,0.9432934613461348,KDD,91531388.29373816,6.06780104637146,KMedoids
Lightweight Coreset (Median),7000,96120255.29427806,30.0,5.013435375647871,0.939215773577358,KDD,91531388.29373816,8.598271942138672,KMedoids
Lightweight Coreset (Median),10000,85718083.5909883,0.0,6.351159761823013,0.9197341734173416,KDD,91531388.29373816,12.381908082962036,KMedoids
Lightweight Coreset (Median),100,219880.8779454172,99.0,120.90066263876994,0.991987602760276,Synthetic,99538.35145573084,0.1875084400177002,KMeans++
Lightweight Coreset (Median),500,104991.1118515002,95.0,5.478049732614305,1.0,Synthetic,99538.35145573084,0.2244192600250244,KMeans++
Lightweight Coreset (Median),1000,102168.73331768734,90.0,2.6425813000593523,1.0,Synthetic,99538.35145573084,0.343049430847168,KMeans++
Lightweight Coreset (Median),1500,101226.7543354389,85.0,1.696233517046921,1.0,Synthetic,99538.35145573084,0.3779701232910156,KMeans++
Lightweight Coreset (Median),3500,100243.2547148983,65.0,0.708172527330799,1.0,Synthetic,99538.35145573084,0.6067122936248779,KMeans++
Lightweight Coreset (Median),5000,100038.43518934022,50.0,0.5024030700687185,1.0,Synthetic,99538.35145573084,0.9392432689666748,KMeans++
Lightweight Coreset (Median),7000,99901.51607170004,30.0,0.3648489357699809,1.0,Synthetic,99538.35145573084,0.8553046703338623,KMeans++
Lightweight Coreset (Median),10000,99783.69420405608,0.0,0.2464806225310656,1.0,Synthetic,99538.35145573084,1.0697845458984374,KMeans++
Lightweight Coreset (Median),100,2784542.332367304,99.0,44.48506500289456,0.9438679387938794,Synthetic,1927218.105422536,0.917967700958252,KMedoids
Lightweight Coreset (Median),500,2406821.5145524754,95.0,24.88578785039946,0.9657852785278528,Synthetic,1927218.105422536,1.469754648208618,KMedoids
Lightweight Coreset (Median),1000,2219218.4904999267,90.0,15.151392790250446,0.9666205620562056,Synthetic,1927218.105422536,2.18733491897583,KMedoids
Lightweight Coreset (Median),1500,2134687.0242016497,85.0,10.765201831353046,0.9656004640464044,Synthetic,1927218.105422536,2.7393553256988525,KMedoids
Lightweight Coreset (Median),3500,2259710.379527174,65.0,17.252446579300933,0.9649056385638562,Synthetic,1927218.105422536,5.360415649414063,KMedoids
Lightweight Coreset (Median),5000,2065057.578882759,50.0,7.152250856941941,0.9701096709670968,Synthetic,1927218.105422536,7.384658670425415,KMedoids
Lightweight Coreset (Median),7000,2047641.1626412752,30.0,6.248543269695853,0.9688073247324732,Synthetic,1927218.105422536,10.137021255493163,KMedoids
Lightweight Coreset (Median),10000,2468274.1093713627,0.0,28.074456255183573,0.9570853045304532,Synthetic,1927218.105422536,14.027712297439574,KMedoids
Lightweight Coresets,100,68949331213.46336,99.0,236.9682778402379,0.9745255365536554,KDD,20461668277.912308,0.1633005142211914,KMeans++
